,MMM,AOS,ABT,ACN,ADM,AAP,AES,AFL,A,APD,ALK,ALB,ARE,ALL,MO,AEE,AXP,AIG,AMT,AWK,AMP,ABC,AME,APH,AON,AJG,AIZ,T,ATO,AZO,AVB,AVY,BKR,BAC,BAX,BDX,WRB,BBY,BIO,BLK,BK,BA,BWA,BXP,BSX,BMY,BR,BRO,CPT,CPB,COF,CAH,KMX,CCL,CAT,CE,CNC,CNP,CF,CRL,CVX,CMG,CB,CHD,CI,C,CFG,CLX,CMS,KO,CL,CMA,CAG,COP,ED,STZ,COO,GLW,CCI,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,DVN,DLR,DFS,DIS,DG,D,DPZ,DOV,DOW,DTE,DUK,DD,DXC,EMN,ETN,ECL,EIX,EW,ELV,LLY,EMR,ETR,EOG,EQT,EFX,EQR,ESS,EL,RE,ES,EXR,XOM,FDS,FRT,FDX,FRC,FE,FIS,FLT,FMC,F,FTV,BEN,FCX,IT,GEN,GD,GE,GIS,GM,GPC,GL,GPN,GS,HAL,HIG,HCA,HSY,HES,HPE,HLT,HD,HON,HRL,HWM,HPQ,HUM,HII,IBM,IEX,ITW,IR,ICE,IP,IPG,IFF,IVZ,IQV,IRM,J,JNJ,JCI,JPM,K,KEY,KMB,KIM,KMI,KR,LHX,LH,LW,LVS,LEN,LNC,LIN,LYV,LMT,L,LOW,LYB,MTB,MRO,MPC,MMC,MLM,MAS,MA,MKC,MCD,MCK,MDT,MRK,MET,MTD,MGM,MAA,MHK,MOH,TAP,MCO,MS,MOS,MSI,NEM,NEE,NKE,NI,NSC,NOC,NRG,NUE,NVR,OXY,OMC,OKE,OGN,PKG,PH,PNR,PKI,PFE,PCG,PM,PSX,PNW,PXD,PNC,PPG,PPL,PG,PGR,PLD,PRU,PEG,PSA,PHM,PWR,DGX,RL,RJF,RTX,O,RF,RSG,RMD,RHI,ROK,ROL,ROP,RCL,CRM,SLB,SEE,SRE,NOW,SHW,SPG,SJM,SNA,SO,LUV,SWK,STT,STE,SYK,SYF,SYY,TPR,TGT,TEL,TDY,TFX,TXT,TMO,TJX,TT,TDG,TRV,TFC,TYL,TSN,USB,UDR,UNP,UPS,URI,UNH,UHS,VLO,VTR,VZ,VFC,V,VNO,VMC,WAB,WMT,WM,WAT,WEC,WFC,WST,WRK,WY,WHR,WMB,GWW,XYL,YUM,ZBH,ZTS,ABMD,ATVI,ADBE,ADP,AKAM,ALGN,LNT,GOOGL,GOOG,AMZN,AMD,AAL,AEP,AMGN,ADI,ANSS,APA,AAPL,AMAT,ACGL,ADSK,TECH,BIIB,BKNG,AVGO,CHRW,CDNS,CZR,CDW,CHTR,CINF,CTAS,CSCO,CME,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CSX,XRAY,DXCM,FANG,DISH,DLTR,EBAY,EA,ENPH,EQIX,ETSY,EXC,EXPE,EXPD,FFIV,FAST,FITB,FISV,FTNT,FOXA,FOX,GRMN,GILD,HAS,HSIC,HOLX,HST,HBAN,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JKHY,KDP,KLAC,KHC,LRCX,LKQ,MKTX,MAR,MTCH,META,MCHP,MU,MSFT,MRNA,MDLZ,MPWR,MNST,NDAQ,NTAP,NFLX,NWL,NWSA,NWS,NDSN,NTRS,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PARA,PAYX,PYPL,PEP,POOL,PFG,PTC,QRVO,QCOM,REG,REGN,ROST,SBAC,STX,SBNY,SWKS,SEDG,SBUX,SIVB,SNPS,TMUS,TROW,TTWO,TER,TSLA,TXN,TSCO,TRMB,ULTA,UAL,VRSN,VRSK,VRTX,VTRS,WBA,WBD,WDC,WTW,WYNN,XEL,ZBRA,ZION,ABBV,ALLE,AMCR,APTV,ANET,BALL,BBWI,CARR,CTLT,CBOE,CBRE,CDAY,SCHW,CTVA,CTRA,EPAM,EVRG,GNRC,PEAK,INVH,JNPR,KEYS,LDOS,LUMN,MSCI,NCLH,ORCL,OTIS,PAYC,SPGI,TRGP,VICI,WELL
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,489291000.0,,,,,484195000.0,,,,,,,,,,,,,,,,,,,30000000.0,,,,,12755625000.0,,298902000.0,,,,,,,,,,,,,,312089000.0,,,,,,,,,,,5079000000.0,,,,,,,102501000.0,,,,,213186000.0,2384000000.0,,8776000.0,,,,296111000.0,,,,,,,1277887000.0,,,,352575000.0,,,,,,,,,60082000.0,,,89191000.0,,,,,188294000.0,,,,,,,,,,,,,,275507000.0,,,,,,,,98000.0,,,,,,,,,,,,,,,,,,,280000.0,,,1683100000.0,,1119000000.0,,,,,,,,,,,,,18106000.0,,,,,,,,,,268752000.0,,,,,,,,,,61864000.0,,,,,,,,,,,277423000.0,32023000.0,,,,,,,,,,,,,204211000.0,,144942000.0,,,,,,,,,361873000.0,,,157688000.0,,,,,,,,,,,,1009000000.0,,,,,,,,,,14049000.0,,,,,,,221900000.0,,,,,,,2940000000.0,,,,7932000.0,,,,,,,,,107880000.0,,,,,,,,258349000.0,,,,,,100635000.0,,,,,,,,,,,,,,88549000.0,,,,,,,,,,,,,,,,,,,,61869000.0,,,,,,,46316000.0,,,578000.0,,,,1308000.0,,,,,,,,,,,,,,12555000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,54000.0,,,,,,,10177000.0,,,,,,,,,,,,,,,,,,,,,839000.0,,,,,,,,,,,,7256000.0,,,,,,,,,,,,,,,,,,,,,57259000.0,,12351000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,606000000.0,87442000.0,632149000.0,,486976000.0,,,23825000.0,,461217000.0,,,,,3075000000.0,,22101000000.0,336046000.0,,,,,50871000.0,,133767000.0,10328000.0,,,18000000.0,,,82501000.0,,12755625000.0,607000000.0,249277000.0,31341000.0,,33599000.0,,1586178000.0,461000000.0,,,,511000000.0,,,,346414000.0,,,,,2247000000.0,,,2561640000.0,,,27546000000.0,,,27621000.0,1032000000.0,,,73019000.0,,620000000.0,398956000.0,,319773000.0,4811000000.0,2525108000.0,8380000.0,34274000.0,344700000.0,,266885000.0,147285000.0,,31712000.0,,,1925696000.0,841142000.0,,,,861909000.0,41084000.0,3133261000.0,,35469000.0,,3621800000.0,2801882000.0,,60967000.0,,448000000.0,93143000.0,4337306000.0,,,397200000.0,338100000.0,5548228000.0,,203956000.0,26033000.0,,,,,2495393000.0,,5536000000.0,,57364000.0,457159000.0,,3459488000.0,,,403442000.0,3654900000.0,,426000.0,,,,28000000.0,1931000000.0,673900000.0,,26343000.0,78690000.0,,,730244000.0,,,133961000.0,2097877000.0,,,4438000.0,2614000000.0,82456000.0,1634900000.0,219000000.0,1341000000.0,,3206000000.0,,17328000.0,,,997000000.0,45348000.0,16984000.0,,,,31273000.0,438000000.0,,11825000000.0,38600000.0,,1220116000.0,,,889933000.0,225012000.0,,,,131966000.0,421125000.0,,,1215000000.0,576547000.0,57749000.0,,216483000.0,,,1279458000.0,,,,75118000.0,1272327000.0,217500000.0,29834000.0,756238000.0,,,,,,,0.0,,,,270000000.0,239772000.0,2768260000.0,154915000.0,,1076287000.0,44000000.0,,48133000.0,,3117000000.0,,338770000.0,,,159031000.0,30319000.0,16286000.0,805200000.0,5847107000.0,,,,,,717900000.0,2946577000.0,987000000.0,103091000.0,,,,21195000.0,30322000.0,,,,16531000.0,1327282000.0,,328569000.0,,,53245000.0,271600000.0,5814000.0,,,,909486000.0,,3040000000.0,,188396000.0,,7002000.0,25109000.0,6579175000.0,165161000.0,102139000.0,956909000.0,,71000.0,,107796000.0,,641000000.0,,,15607000.0,254700000.0,53417000.0,206816000.0,657176000.0,,195660000.0,,211691000.0,92990000.0,,19487000.0,2329000000.0,,,,291619000.0,521859000.0,,,59643000.0,,80255000.0,83502000.0,,388218000.0,,,,4494500000.0,25555000.0,,1430973000.0,56648000.0,,62779000.0,,,,,,,,77124000.0,,,,,,,40800000.0,1624018000.0,6123426000.0,8043000.0,31509000.0,,167001000.0,0.0,27322000.0,,,,,,,,,,,,32444000.0,16580000.0,,,,91453000.0,,,,,2748000000.0,,,,,,,,,,,3710752000.0,,345000.0,,,,,,,,,,,,,1110305000.0,1000901000.0,,,,209000000.0,,,1842000.0,,,0.0,,169000.0,,,,,,,0.0,,,,,,,,,89550000.0,,,16798000.0,5743543000.0,,,,,,28022000.0,,0.0,,1091875000.0,,,,,,,,,,11238000.0,,,,,,,,,,33406000.0,,262400000.0,,,,1830529000.0,,,,2853000.0,56571000.0,,53726000.0,,,,,431830000.0,,,,,,117400000.0,21763000.0,,,,,,,,,,628446000.0,,,,,,,188367000.0,,,,,,10466000.0,,,
1984-12-31,743000000.0,120472000.0,742834000.0,,581271000.0,,,25251000.0,,588516000.0,108745000.0,,,,2588000000.0,,27513000000.0,471324000.0,,,,,46706000.0,,104078000.0,20000000.0,,5417700000.0,18000000.0,,,88787000.0,,14332699000.0,550000000.0,281937000.0,40008000.0,,33953000.0,,2920352000.0,1001000000.0,,,,629000000.0,,,,389255000.0,,,,,1861000000.0,,,2995694000.0,,,27546000000.0,,,23703000.0,946000000.0,,,73997000.0,,1362000000.0,423410000.0,,283835000.0,4811000000.0,2484788000.0,7703000.0,86279000.0,340800000.0,,294823000.0,122190000.0,,103222000.0,,,1719676000.0,706486000.0,,,,823051000.0,27825000.0,3304113000.0,,131915000.0,,3986759000.0,2816614000.0,,54985000.0,,478000000.0,80579000.0,4510060000.0,,,459200000.0,270600000.0,6309436000.0,,229597000.0,24368000.0,,,,,2682205000.0,,6382000000.0,,53730000.0,652238000.0,,3866367000.0,,,337396000.0,3458900000.0,,410000.0,,,,19500000.0,1800000000.0,888700000.0,,27203000.0,181223000.0,,,480155000.0,,,132006000.0,2370115000.0,,,118229000.0,2614000000.0,82085000.0,1606100000.0,298000000.0,1264000000.0,,4103000000.0,,17457000.0,,,1076000000.0,107941000.0,15922000.0,,,,16936000.0,454000000.0,,65674000000.0,704700000.0,,1651500000.0,,,841491000.0,224297000.0,,,,152961000.0,367219000.0,,,866000000.0,403814000.0,99571000.0,,101976000.0,,,149200000.0,,,,141360000.0,1360714000.0,242000000.0,40392000.0,587900000.0,,,,,,,0.0,,,,642000000.0,238535000.0,2963000000.0,127442000.0,,961180000.0,93000000.0,,45634000.0,,4155000000.0,,317415000.0,,,161332000.0,70317000.0,96624000.0,640900000.0,6936742000.0,,,,,5055000000.0,664200000.0,3110833000.0,1276000000.0,102423000.0,,,,62256000.0,27173000.0,,,,12951000.0,1669727000.0,,283833000.0,,,51294000.0,769700000.0,15473000.0,,,,1823019000.0,,2938000000.0,,180638000.0,,6169000.0,22702000.0,7054813000.0,160075000.0,106950000.0,877812000.0,,3685000.0,,113195000.0,,760000000.0,,,16073000.0,256000000.0,49322000.0,229947000.0,608296000.0,,272932000.0,,182553000.0,140789000.0,,62034000.0,2186000000.0,,,,295983000.0,1041562000.0,,14637000000.0,228350000.0,,72139000.0,83502000.0,,501573000.0,,,,4842500000.0,23950000.0,,1411055000.0,52751000.0,,34070000.0,,,,,,,,179624000.0,,,,,,,40800000.0,1650043000.0,6208126000.0,8260000.0,34019000.0,,99300000.0,0.0,26919000.0,,0.0,,,,,,,,,,30443000.0,19542000.0,,,,129598000.0,,,,,2563000000.0,,,,,,,,,,,4156654000.0,,480000.0,,,,,,,,,,210941000.0,,,1154400000.0,984267000.0,,,,212000000.0,,,14619000.0,1211000.0,,0.0,,347000.0,,,,,,,30473000.0,0.0,,,,,,,,138980000.0,,,15598000.0,6455522000.0,,,,,,23469000.0,,3000000.0,,950437000.0,,,,,,,,33073000.0,,36630000.0,,,,,,,,,,62365000.0,,427000000.0,,,,1617142000.0,,,,2574000.0,76771000.0,,64508000.0,,,,,705235000.0,,,,,,125200000.0,60139000.0,,,,,,,,,,558824000.0,,,,,,,192127000.0,,,2067000.0,,,4468000.0,,,67328000.0
1985-12-31,890000000.0,91030000.0,565812000.0,,582962000.0,,,55619000.0,,732489000.0,244381000.0,,,,8009000000.0,,34682000000.0,919291000.0,,,,,72557000.0,,157169000.0,20000000.0,,5746600000.0,53388000.0,,,115912000.0,729946000.0,17206006000.0,2748000000.0,546338000.0,82800000.0,,24909000.0,,4114646000.0,1031000000.0,,,,749000000.0,,,,451192000.0,,,,,1404000000.0,,,3404302000.0,,,19741000000.0,,,22265000.0,891000000.0,,,56539000.0,3877000000.0,1288000000.0,896157000.0,,399947000.0,6784000000.0,2665464000.0,66747000.0,260985000.0,365300000.0,,294823000.0,115482000.0,,169313000.0,,,1666583000.0,929591000.0,,,,547200000.0,70760000.0,3467400000.0,,135422000.0,,4246980000.0,2854383000.0,,49410000.0,,471000000.0,77979000.0,4946834000.0,,,541000000.0,578100000.0,6588265000.0,,253254000.0,30102000.0,,,,,3018624000.0,,7909000000.0,,116942000.0,634695000.0,,4120516000.0,,,370894000.0,3431800000.0,,6705000.0,,,,361300000.0,2050000000.0,473500000.0,,24162000.0,165384000.0,,,447652000.0,,,119792000.0,1935967000.0,,,210325000.0,3351000000.0,64900000.0,1606100000.0,362000000.0,1287000000.0,,5248000000.0,,17618000.0,,,1301000000.0,148476000.0,18968000.0,,,,6718000.0,439000000.0,,75022000000.0,427400000.0,,2043300000.0,,,1089296000.0,349325000.0,,,,96760000.0,288871000.0,,,826000000.0,790879000.0,192582000.0,,140913000.0,,,70100000.0,,,,151257000.0,1768407000.0,662000000.0,46556000.0,500800000.0,,,,,,,0.0,,,,996000000.0,238535000.0,3376802000.0,80351000.0,,940980000.0,215000000.0,,42636000.0,,4186000000.0,,347514000.0,,,287568000.0,77391000.0,78032000.0,529400000.0,7844770000.0,,,,,8261000000.0,1222000000.0,3096966000.0,3219000000.0,158677000.0,,,3460623000.0,58600000.0,28598000.0,,,,21596000.0,1722899000.0,,266111000.0,,,51294000.0,723100000.0,19266000.0,,,,2079042000.0,,3561000000.0,,154521000.0,,4503000.0,20191000.0,7564605000.0,393786000.0,93554000.0,1276959000.0,,4369000.0,,110155000.0,,948000000.0,,,25824000.0,1541900000.0,50983000.0,330930000.0,530134000.0,,947876000.0,,173019000.0,219526000.0,,90679000.0,2192000000.0,,,,375887000.0,975376000.0,,14841800000.0,166704000.0,,85133000.0,74519000.0,,787172000.0,,,782666000.0,4848600000.0,30415000.0,,1267578000.0,63800000.0,,42060000.0,,,,,,,0.0,332987000.0,,,,,,,185778000.0,1973956000.0,5952485000.0,8824000.0,55610000.0,,114179000.0,0.0,26919000.0,,220000.0,,,,,,,,,,60854000.0,45433000.0,,,,199870000.0,,,,,2707000000.0,,,,,,,,,,,4467257000.0,,1917000.0,,,,7411000.0,,,,,,212433000.0,,,1231600000.0,1133356000.0,,,,360000000.0,,,25115000.0,926000.0,,0.0,,960000.0,,,,,,,34076000.0,1879000.0,,,,,,,,136071000.0,,,17654000.0,6741951000.0,,,,,,15623000.0,,2785000.0,,1506800000.0,,,,,,,,52159000.0,,15658000.0,,,,,,,,,,19581000.0,,411500000.0,,,,1912792000.0,,,,2323000.0,166420000.0,,71397000.0,,,,,499016000.0,,,,,,97900000.0,388744000.0,,,,,,,,,,520572000.0,,49909000.0,,,,,215663000.0,,,8805000.0,,,5045000.0,,,81822000.0
1986-12-31,847000000.0,141241000.0,889076000.0,,671151000.0,,,64953000.0,,667985000.0,310892000.0,,,,6912000000.0,,48456000000.0,919291000.0,,,,,157927000.0,,447079000.0,20000000.0,,6002800000.0,52848000.0,,,269588000.0,540614000.0,20494897000.0,1886000000.0,662144000.0,79494000.0,10954000.0,31708000.0,,3071537000.0,1278000000.0,,,,618000000.0,,,,473700000.0,,,,218858000.0,1952000000.0,,,3428452000.0,,,17470000000.0,,,60644000.0,989000000.0,,,40510000.0,3877000000.0,1611000000.0,677592000.0,,441603000.0,5940000000.0,2887423000.0,76241000.0,444323000.0,387300000.0,,445510000.0,71321000.0,,483548000.0,,,1685592000.0,1065580000.0,13545000.0,,,584500000.0,65247000.0,3727400000.0,,171839000.0,,4936888000.0,2791213000.0,,19930000.0,,663000000.0,77979000.0,5279448000.0,,,626200000.0,916700000.0,6448702000.0,,266454000.0,33673000.0,,,,,3083920000.0,,7878000000.0,,203781000.0,805307000.0,,4328533000.0,,,1860292000.0,3441100000.0,,3550000.0,,,,432900000.0,6164000000.0,382100000.0,,22643000.0,412405000.0,,,241075000.0,,,219192000.0,1528367000.0,,,117145000.0,4419000000.0,64363000.0,2792500000.0,339000000.0,1293000000.0,,5579000000.0,,503998000.0,,,2157000000.0,194059000.0,12942000.0,,,,25119000.0,1252000000.0,,75628000000.0,399700000.0,,2051000000.0,,,891620000.0,157966000.0,,,,73064000.0,583761000.0,,,1843000000.0,1274932000.0,162879000.0,,248620000.0,,,117500000.0,,,,154162000.0,2320737000.0,609200000.0,37401000.0,540400000.0,,,,,,,0.0,,,,641000000.0,1896122000.0,2859892000.0,83147000.0,,891313000.0,548000000.0,,45200000.0,,8373000000.0,,318244000.0,,,378037000.0,148571000.0,62806000.0,614100000.0,8531375000.0,,,,,9686000000.0,1354200000.0,3294589000.0,3024000000.0,132301000.0,,,3707943000.0,82795000.0,2334946000.0,,,,24801000.0,2483299000.0,,226202000.0,,,6338000.0,914200000.0,4000000.0,,,,1547104000.0,,3254000000.0,,177507000.0,,4150000.0,20404000.0,8067682000.0,350615000.0,426751000.0,202568000.0,,6818000.0,,108258000.0,,1387000000.0,,,47884000.0,2212900000.0,62943000.0,499830000.0,531363000.0,,573299000.0,,227216000.0,217024000.0,,84856000.0,3061000000.0,,,,325347000.0,906629000.0,,15662000000.0,689825000.0,,116003000.0,74519000.0,,956911000.0,,,975274000.0,4796000000.0,44324000.0,,1821367000.0,194200000.0,,43177000.0,,,,,0.0,,0.0,225336000.0,,,,,,,193242000.0,2690148000.0,5759597000.0,7550000.0,38832000.0,,260834000.0,0.0,28345000.0,,0.0,,,,,,,,,,64427000.0,58003000.0,,,,702482000.0,,,,,3940000000.0,,,,,,,,,,,4464741000.0,,2919000.0,,1305000.0,,4220000.0,,,,,,167452000.0,,,1695700000.0,1553873000.0,,,,399000000.0,,,41500000.0,2262000.0,,0.0,,4105000.0,,,,,,,40246000.0,5172000.0,,,,,,,,111734000.0,,,21367000.0,8253145000.0,,,,,,18803000.0,,2571000.0,,2865300000.0,,,,,,,,89059000.0,,302443000.0,,,,,,,,,,25074000.0,,270800000.0,,,,1912792000.0,,,,4627000.0,190552000.0,,33914000.0,,,,,528823000.0,,,,,,124000000.0,70420000.0,,,,,,73731000.0,,,,572662000.0,,115985000.0,,,,,212838000.0,,,14221000.0,,,54294000.0,,,91298000.0
1987-12-31,699000000.0,123433000.0,877395000.0,,709551000.0,,,83237000.0,,765551000.0,211253000.0,,,,6355000000.0,,57451000000.0,2460412000.0,,,,,162191000.0,,558200000.0,20000000.0,,6590900000.0,103408000.0,,,253400000.0,487854000.0,16228218000.0,2073000000.0,689173000.0,79586000.0,44934000.0,50852000.0,,2891949000.0,3351000000.0,,,,694000000.0,,742000.0,,663800000.0,,,,103952000.0,2196000000.0,,,3861491000.0,,,15224000000.0,,,58283000.0,942000000.0,,,109839000.0,3954000000.0,2995000000.0,911280000.0,,765897000.0,5597000000.0,2962412000.0,64735000.0,673426000.0,439800000.0,,404181000.0,64399000.0,,391843000.0,,,1417450000.0,765940000.0,13545000.0,,,435500000.0,,4297400000.0,,188411000.0,,5345795000.0,2782961000.0,,15178000.0,,856000000.0,316081000.0,5924939000.0,,,603900000.0,895900000.0,7101040000.0,,259933000.0,30288000.0,,,,,3306664000.0,,7885000000.0,,282261000.0,907868000.0,,4073971000.0,,,1461347000.0,56408100000.0,,7984000.0,40000000.0,,,928200000.0,36390000000.0,733100000.0,,20486000.0,396485000.0,,,199700000.0,,,310584000.0,1631345000.0,,,52533000.0,4027000000.0,100045000.0,2640400000.0,1067000000.0,1244000000.0,,11079000000.0,143308000.0,357249000.0,,,2432000000.0,192811000.0,35485000.0,,,,14519000.0,1164000000.0,,75628000000.0,441800000.0,,2413000000.0,,,1330794000.0,189263000.0,1200000.0,,,174093000.0,641300000.0,,,1440000000.0,1452897000.0,198133000.0,,364354000.0,,,156500000.0,,,,237505000.0,2784391000.0,489200000.0,59940000.0,1018200000.0,,,,,,,0.0,,,,917000000.0,1182673000.0,3377649000.0,167094000.0,1522601000.0,1455600000.0,891000000.0,,37673000.0,1667665000.0,6529000000.0,,270503000.0,,,490403000.0,97088000.0,80582000.0,963800000.0,8701783000.0,,,,,11714000000.0,2149600000.0,3301027000.0,3364000000.0,216900000.0,,,3798610000.0,76363000.0,3274537000.0,,,,29179000.0,3002900000.0,,178462000.0,,,83557000.0,1049000000.0,0.0,,,,809193000.0,,4007000000.0,,141387000.0,,3081000.0,16061000.0,8842621000.0,260873000.0,432452000.0,218266000.0,,4141000.0,,136351000.0,,2189000000.0,,,67319000.0,5061000000.0,141049000.0,499830000.0,378413000.0,,505576000.0,,227216000.0,211318000.0,,104089000.0,2885000000.0,,,62825000.0,260155000.0,214208000.0,,18001700000.0,544659000.0,,136693000.0,101343000.0,,1175570000.0,1399000.0,,1139326000.0,5220100000.0,60485000.0,,3822056000.0,1031800000.0,,42712000.0,,,,,0.0,,0.0,272654000.0,,,374597000.0,,,,170503000.0,2987200000.0,5928567000.0,18511000.0,37385000.0,,238124000.0,314668000.0,25841000.0,,0.0,,,,,,4534000.0,,,,66262000.0,53320000.0,,,,642674000.0,,,,339529000.0,3332000000.0,,,,,,,,,,,5114210000.0,,2813000.0,,878000.0,,3801000.0,,,,,,201524000.0,,1035000.0,2545000000.0,1553873000.0,,,,753000000.0,,,72000000.0,865000.0,,0.0,,4734000.0,,,,,,,23653000.0,20259000.0,,,,,,,,312164000.0,,,22851000.0,8648700000.0,,,,,,970524000.0,2375030000.0,3322000.0,,3225100000.0,,,433000.0,,,,,45000000.0,,305989000.0,,,,,0.0,,,,,52791000.0,,549800000.0,,,,2772123000.0,,,,6326000.0,174723000.0,,122200000.0,,,,,484084000.0,,,,,,147600000.0,681000000.0,,,,,,237285000.0,,,,581588000.0,,138722000.0,,,,,197318000.0,,,11870000.0,,,184555000.0,,,109318000.0
