,MMM,AOS,ABT,ACN,ADM,AAP,AES,AFL,A,APD,ALK,ALB,ARE,ALL,MO,AEE,AXP,AIG,AMT,AWK,AMP,ABC,AME,APH,AON,AJG,AIZ,T,ATO,AZO,AVB,AVY,BKR,BAC,BAX,BDX,WRB,BBY,BIO,BLK,BK,BA,BWA,BXP,BSX,BMY,BR,BRO,CPT,CPB,COF,CAH,KMX,CCL,CAT,CE,CNC,CNP,CF,CRL,CVX,CMG,CB,CHD,CI,C,CFG,CLX,CMS,KO,CL,CMA,CAG,COP,ED,STZ,COO,GLW,CCI,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,DVN,DLR,DFS,DIS,DG,D,DPZ,DOV,DOW,DTE,DUK,DD,DXC,EMN,ETN,ECL,EIX,EW,ELV,LLY,EMR,ETR,EOG,EQT,EFX,EQR,ESS,EL,RE,ES,EXR,XOM,FDS,FRT,FDX,FRC,FE,FIS,FLT,FMC,F,FTV,BEN,FCX,IT,GEN,GD,GE,GIS,GM,GPC,GL,GPN,GS,HAL,HIG,HCA,HSY,HES,HPE,HLT,HD,HON,HRL,HWM,HPQ,HUM,HII,IBM,IEX,ITW,IR,ICE,IP,IPG,IFF,IVZ,IQV,IRM,J,JNJ,JCI,JPM,K,KEY,KMB,KIM,KMI,KR,LHX,LH,LW,LVS,LEN,LNC,LIN,LYV,LMT,L,LOW,LYB,MTB,MRO,MPC,MMC,MLM,MAS,MA,MKC,MCD,MCK,MDT,MRK,MET,MTD,MGM,MAA,MHK,MOH,TAP,MCO,MS,MOS,MSI,NEM,NEE,NKE,NI,NSC,NOC,NRG,NUE,NVR,OXY,OMC,OKE,OGN,PKG,PH,PNR,PKI,PFE,PCG,PM,PSX,PNW,PXD,PNC,PPG,PPL,PG,PGR,PLD,PRU,PEG,PSA,PHM,PWR,DGX,RL,RJF,RTX,O,RF,RSG,RMD,RHI,ROK,ROL,ROP,RCL,CRM,SLB,SEE,SRE,NOW,SHW,SPG,SJM,SNA,SO,LUV,SWK,STT,STE,SYK,SYF,SYY,TPR,TGT,TEL,TDY,TFX,TXT,TMO,TJX,TT,TDG,TRV,TFC,TYL,TSN,USB,UDR,UNP,UPS,URI,UNH,UHS,VLO,VTR,VZ,VFC,V,VNO,VMC,WAB,WMT,WM,WAT,WEC,WFC,WST,WRK,WY,WHR,WMB,GWW,XYL,YUM,ZBH,ZTS,ABMD,ATVI,ADBE,ADP,AKAM,ALGN,LNT,GOOGL,GOOG,AMZN,AMD,AAL,AEP,AMGN,ADI,ANSS,APA,AAPL,AMAT,ACGL,ADSK,TECH,BIIB,BKNG,AVGO,CHRW,CDNS,CZR,CDW,CHTR,CINF,CTAS,CSCO,CME,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CSX,XRAY,DXCM,FANG,DISH,DLTR,EBAY,EA,ENPH,EQIX,ETSY,EXC,EXPE,EXPD,FFIV,FAST,FITB,FISV,FTNT,FOXA,FOX,GRMN,GILD,HAS,HSIC,HOLX,HST,HBAN,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JKHY,KDP,KLAC,KHC,LRCX,LKQ,MKTX,MAR,MTCH,META,MCHP,MU,MSFT,MRNA,MDLZ,MPWR,MNST,NDAQ,NTAP,NFLX,NWL,NWSA,NWS,NDSN,NTRS,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PARA,PAYX,PYPL,PEP,POOL,PFG,PTC,QRVO,QCOM,REG,REGN,ROST,SBAC,STX,SBNY,SWKS,SEDG,SBUX,SIVB,SNPS,TMUS,TROW,TTWO,TER,TSLA,TXN,TSCO,TRMB,ULTA,UAL,VRSN,VRSK,VRTX,VTRS,WBA,WBD,WDC,WTW,WYNN,XEL,ZBRA,ZION,ABBV,ALLE,AMCR,APTV,ANET,BALL,BBWI,CARR,CTLT,CBOE,CBRE,CDAY,SCHW,CTVA,CTRA,EPAM,EVRG,GNRC,PEAK,INVH,JNPR,KEYS,LDOS,LUMN,MSCI,NCLH,ORCL,OTIS,PAYC,SPGI,TRGP,VICI,WELL
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,1449963000.0,,,,,1049797000.0,,,,,,,,,,,,,,,,,,,30000000.0,,,,,5743687000.0,,597710000.0,,,,,,,,,,,,,,1149404000.0,,,,,,,,,,,28832000000.0,,,,,,,325998000.0,,,,,299803000.0,6149000000.0,,32198000.0,,,,505150000.0,,,,,,,897160000.0,,,,1400528000.0,,,,,,,,,138676000.0,,,188132000.0,,,,,1701745000.0,,,,,,,,,,,,,,509906000.0,,,,,,,,4827000.0,,,,,,,,,,,,,,,,,,,18354000.0,,,3227500000.0,,609000000.0,,,,,,,,,,,,,34143000.0,,,,,,,,,,761266000.0,,,,,,,,,,198783000.0,,,,,,,,,,,510283000.0,291799000.0,,,,,,,,,,,,,1477255000.0,,240913000.0,,,,,,,,,361847000.0,,,473706000.0,,,,,,,,,,,,4601000000.0,,,,,,,,,,28337000.0,,,,,,,2367300000.0,,,,,,,2195000000.0,,,,67631000.0,,,,,,,,,241938000.0,,,,,,,,294762000.0,,,,,,66760000.0,,,,,,,,,,,,,,460095000.0,,,,,,,,,,,,,,,,,,,,420838000.0,,,,,,,183354000.0,,,10109000.0,,,,377901000.0,,,,,,,,,,,,,,23917000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24811000.0,,-3331000.0,,,,,,,12214000.0,,,,,,,,,,,,,,,,,,,,,2348000.0,,,,,,,,,,,,120699000.0,,,,,,,,,,,,,,,,,,,,,351705000.0,,27135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,3698000000.0,206110000.0,1417883000.0,,1649866000.0,,,235478000.0,,1118799000.0,,,,,4033000000.0,,4043000000.0,2659615000.0,,,,,175684000.0,,739296000.0,10479000.0,,,32608000.0,,,241067000.0,,5743687000.0,1151000000.0,606775000.0,35256000.0,,17068000.0,,664003000.0,5105000000.0,,,,3139000000.0,,,,1259908000.0,,,,,3337000000.0,,,2464143000.0,,,28501000000.0,,,65782000.0,5049000000.0,,,431313000.0,,2920000000.0,1341668000.0,,435809000.0,6624000000.0,4365250000.0,38417000.0,139024000.0,1032700000.0,,649222000.0,831202000.0,,20552000.0,,,2275967000.0,1048907000.0,,,,1155485000.0,76582000.0,2922272000.0,,502656000.0,,3102866000.0,3333541000.0,,158327000.0,,987000000.0,209577000.0,4702864000.0,,,2121000000.0,2004400000.0,3762110000.0,,260573000.0,80968000.0,,,,,1840312000.0,,29443000000.0,,45312000.0,722298000.0,,1801350000.0,,,1460394000.0,7545300000.0,,10202000.0,,,,1260600000.0,11270000000.0,1224600000.0,,636218000.0,818199000.0,,,3571527000.0,,,596037000.0,2525663000.0,,,65278000.0,5760000000.0,263861000.0,3343600000.0,2887000000.0,742000000.0,,23219000000.0,,339952000.0,,,3625000000.0,228764000.0,344255000.0,,,,24347000.0,3031000000.0,,2305000000.0,977900000.0,,2958759000.0,,,1072852000.0,818091000.0,,,,134061000.0,1537198000.0,,,1670000000.0,1688383000.0,291505000.0,,126635000.0,,,449585000.0,,,,216374000.0,1755141000.0,552700000.0,335414000.0,2434613000.0,,,,,,,860219000.0,,,,1948000000.0,1480901000.0,2707896000.0,274836000.0,,4191536000.0,576000000.0,,258129000.0,,4641000000.0,,391597000.0,,,518321000.0,101530000.0,215208000.0,2188200000.0,6613713000.0,,,,,,1845800000.0,2714154000.0,5080000000.0,79700000.0,,,,40382000.0,133936000.0,,,,29753000.0,3783755000.0,,279101000.0,,,52591000.0,2521600000.0,91698000.0,,,,5818850000.0,,2402000000.0,,370970000.0,,78314000.0,258941000.0,5302600000.0,314556000.0,435431000.0,241309000.0,,32376000.0,,293008000.0,,1349000000.0,,,63562000.0,1244600000.0,79026000.0,395457000.0,1030561000.0,,2509712000.0,,175189000.0,84299000.0,,8012000.0,4056000000.0,,,,99593000.0,523357000.0,,,399911000.0,,72554000.0,511455000.0,,737503000.0,,,,1130100000.0,96303000.0,,3223347000.0,977648000.0,,411936000.0,,,,,,,,475567000.0,,,,,,,278574000.0,1530026000.0,4655540000.0,45295000.0,151110000.0,,223105000.0,464565000.0,61553000.0,,,,,,,,,,,,305340000.0,46103000.0,,,,68741000.0,,,,,4820000000.0,,,,,,,,,,,3376658000.0,,1531000.0,,,,,,,,,,,,,628204000.0,284970000.0,,,,1121000000.0,,,31930000.0,,,52439000.0,,34154000.0,,,,,,,89307000.0,,,,,,,,,294104000.0,,,78386000.0,346048000.0,,,,,,604417000.0,,11366000.0,,1794158000.0,,,,,,,,,,170237000.0,,,,,,,,,,176460000.0,,1202700000.0,,,,1396608000.0,,,,18055000.0,414618000.0,,43676000.0,,,,,167065000.0,,,,,,262100000.0,192576000.0,,,,,,,,,,569113000.0,,,,,,,104862000.0,,,,,,616622000.0,,,
1984-12-31,3814000000.0,160551000.0,1602700000.0,,1803394000.0,,,278434000.0,,1162978000.0,109206000.0,,,,4093000000.0,,4607000000.0,2823494000.0,,,,,200912000.0,,836648000.0,39423000.0,,6994800000.0,36633000.0,,,270525000.0,,6688811000.0,1107000000.0,681052000.0,28097000.0,,18922000.0,,760262000.0,6039000000.0,,,,3509000000.0,,,,1382487000.0,,,,,2852000000.0,,,2773486000.0,,,28501000000.0,,,72622000.0,4920000000.0,,,485856000.0,,2778000000.0,1231991000.0,,481805000.0,6624000000.0,4669076000.0,47937000.0,158512000.0,1067100000.0,,711585000.0,957531000.0,,36353000.0,,,2290828000.0,1287094000.0,,,,1184888000.0,93916000.0,3096683000.0,,559088000.0,,3274166000.0,3517959000.0,,186221000.0,,1201000000.0,234966000.0,5132332000.0,,,2221200000.0,2222200000.0,4280141000.0,,320289000.0,89054000.0,,,,,2052792000.0,,28851000000.0,,70563000.0,815310000.0,,2045823000.0,,,959760000.0,9837700000.0,,22385000.0,,,,1062100000.0,12573000000.0,1023300000.0,,701113000.0,811515000.0,,,3384191000.0,,,660928000.0,2573218000.0,,,80214000.0,5760000000.0,283362000.0,3307900000.0,3545000000.0,903000000.0,,26489000000.0,,377557000.0,,,3601000000.0,268534000.0,351183000.0,,,,26768000.0,2943000000.0,,13589000000.0,487200000.0,,3144600000.0,,,1148776000.0,867484000.0,,,,134814000.0,1616074000.0,,,1778000000.0,2007040000.0,341348000.0,,135865000.0,,,370800000.0,,,,243706000.0,2009199000.0,558600000.0,328553000.0,2544200000.0,,,,,,,890945000.0,,,,2278000000.0,1404131000.0,2894274000.0,271968000.0,,4472553000.0,725000000.0,,299603000.0,,4348000000.0,,342564000.0,,,594823000.0,119327000.0,149846000.0,2495500000.0,7130997000.0,,,,,1750000000.0,2015100000.0,2866389000.0,5272000000.0,74815000.0,,,,52086000.0,148402000.0,,,,34016000.0,4169450000.0,,307446000.0,,,57910000.0,2948300000.0,34120000.0,,,,6992202000.0,,2713000000.0,,404140000.0,,88046000.0,298574000.0,5950681000.0,361768000.0,444011000.0,266604000.0,,39690000.0,,339051000.0,,1736000000.0,,,72621000.0,1253900000.0,84219000.0,498057000.0,996731000.0,,2012692000.0,,197991000.0,154721000.0,,37362000.0,4231000000.0,,,,114821000.0,461814000.0,,15777500000.0,441370000.0,,76201000.0,511455000.0,,984672000.0,,,,1160100000.0,105888000.0,,3188352000.0,1096282000.0,,463874000.0,,,,,,,,557370000.0,,,,,,,278574000.0,1765160000.0,4853761000.0,37705000.0,195260000.0,,227524000.0,550487000.0,86426000.0,,2003000.0,,,,,,,,,,370648000.0,54556000.0,,,,84686000.0,,,,,5149000000.0,,,,,,,,,,,3789682000.0,,8069000.0,,,,,,,,,,292975000.0,,,675600000.0,317546000.0,,,,1361000000.0,,,46071000.0,1740000.0,,62641000.0,,39905000.0,,,,,,,92070000.0,54440000.0,,,,,,,,361018000.0,,,82337000.0,387648000.0,,,,,,685029000.0,,14349000.0,,1853376000.0,,,,,,,,46739000.0,,172108000.0,,,,,,,,,,226548000.0,,1540500000.0,,,,1642917000.0,,,,29176000.0,480974000.0,,68979000.0,,,,,184092000.0,,,,,,295400000.0,275403000.0,,,,,,,,,,613506000.0,,,,,,,111921000.0,,,7367000.0,,,697931000.0,,,41016000.0
1985-12-31,4008000000.0,237276000.0,1870663000.0,,2075887000.0,,,339617000.0,,1100141000.0,161011000.0,,,,4737000000.0,,5369000000.0,4867797000.0,,,,,219692000.0,,987435000.0,39423000.0,,7397000000.0,40989000.0,,,314455000.0,1072149000.0,6486814000.0,2963000000.0,803925000.0,77049000.0,,29856000.0,,921241000.0,6998000000.0,,,,3953000000.0,,,,1538880000.0,,,,,3068000000.0,,,3149940000.0,,,29182000000.0,,,74104000.0,4397000000.0,,,549793000.0,2847000000.0,2979000000.0,907048000.0,,654394000.0,1644000000.0,4605945000.0,58545000.0,204109000.0,1185600000.0,,711585000.0,1104906000.0,,49888000.0,,,2258616000.0,1301946000.0,,,,1418700000.0,107955000.0,3173100000.0,,625540000.0,,3467522000.0,3629001000.0,,213853000.0,,1395000000.0,261586000.0,5436974000.0,,,2387700000.0,2501000000.0,4705419000.0,,386663000.0,95363000.0,,,,,2212708000.0,,29096000000.0,,72397000.0,1093223000.0,,2346723000.0,,,1123100000.0,12268600000.0,,52759000.0,,,,1335800000.0,13671000000.0,682500000.0,,729231000.0,966788000.0,,,2857854000.0,,,727899000.0,2260590000.0,,,89092000.0,9021000000.0,311605000.0,3307900000.0,3982000000.0,897000000.0,,31990000000.0,,403439000.0,,,3498000000.0,320830000.0,426986000.0,,,,26961000.0,3431000000.0,,16962000000.0,683000000.0,,2934400000.0,,,1188670000.0,900841000.0,,,,142054000.0,2004634000.0,,,2218000000.0,2442241000.0,407373000.0,,149232000.0,,,515200000.0,,,,261126000.0,2244818000.0,695800000.0,348702000.0,2634000000.0,,,,,,,936461000.0,,,,2284000000.0,1404131000.0,3094846000.0,317146000.0,,4761504000.0,900000000.0,,357502000.0,,3618000000.0,,350288000.0,,,672186000.0,134555000.0,203401000.0,2927300000.0,7767426000.0,,,,,2599000000.0,1705300000.0,2828085000.0,5954000000.0,118421000.0,,,4168966000.0,132899000.0,169354000.0,,,,44618000.0,4373344000.0,,352312000.0,,,57910000.0,3162100000.0,29282000.0,,,,6877209000.0,,2753000000.0,,465367000.0,,94468000.0,337328000.0,6650754000.0,466004000.0,502589000.0,323208000.0,,48516000.0,,397822000.0,,1947000000.0,,,84312000.0,1633300000.0,101638000.0,605775000.0,1031960000.0,,2226245000.0,,200135000.0,203631000.0,,34687000.0,4356000000.0,,,,173529000.0,518442000.0,,15558300000.0,554223000.0,,81089000.0,506567000.0,,1277659000.0,,,1086892000.0,1219300000.0,119506000.0,,3324051000.0,1206700000.0,,518234000.0,,,,,,,13719000.0,664848000.0,,,,,,,574126000.0,2269535000.0,4897898000.0,80580000.0,237783000.0,,225975000.0,694087000.0,86426000.0,,21170000.0,,,,,,,,,,470329000.0,64834000.0,,,,114493000.0,,,,,4873000000.0,,,,,,,,,,,4083829000.0,,11076000.0,,,,16688000.0,,,,,,417933000.0,,,848500000.0,501276000.0,,,,1421000000.0,,,76801000.0,6741000.0,,75596000.0,,42494000.0,,,,,,,79080000.0,139332000.0,,,,,,,,426606000.0,,,72380000.0,406038000.0,,,,,,714636000.0,,18617000.0,,1837700000.0,,,,,,,,126346000.0,,208417000.0,,,,,,,,,,253513000.0,,1427700000.0,,,,2292248000.0,,,,47543000.0,553611000.0,,99816000.0,,,,,203628000.0,,,,,,330800000.0,404075000.0,,,,,,,,,,632289000.0,,89161000.0,,,,,121728000.0,,,28651000.0,,,776674000.0,,,42607000.0
1986-12-31,4463000000.0,283864000.0,1778921000.0,,2367673000.0,,,446060000.0,,1146631000.0,177179000.0,,,,5655000000.0,,4875000000.0,4867797000.0,,,,,231066000.0,,1159307000.0,64597000.0,,7818000000.0,42637000.0,,,350010000.0,915520000.0,6492711000.0,3455000000.0,861284000.0,226061000.0,55747000.0,42353000.0,,1052519000.0,7672000000.0,,,,4193000000.0,,,,1736100000.0,,,,207845000.0,3149000000.0,,,3443946000.0,,,29232000000.0,,,104811000.0,5269000000.0,,,616447000.0,2847000000.0,3514000000.0,979916000.0,,735833000.0,1724000000.0,4685955000.0,48805000.0,220959000.0,1395600000.0,,770343000.0,1265387000.0,,65244000.0,,,1999277000.0,1937912000.0,28927000.0,,,1845400000.0,109455000.0,3324600000.0,,627675000.0,,3458676000.0,3762398000.0,,284813000.0,,1256000000.0,261586000.0,5458978000.0,,,2739600000.0,2702500000.0,5011328000.0,,414503000.0,108893000.0,,,,,2220677000.0,,32012000000.0,,88777000.0,1078920000.0,,2652979000.0,,,-506602000.0,14859500000.0,,104603000.0,,,,1264400000.0,15109000000.0,730400000.0,,758493000.0,915631000.0,,,2150172000.0,,,727941000.0,1938793000.0,,,163042000.0,5959000000.0,339925000.0,3721600000.0,4374000000.0,1013000000.0,,34374000000.0,,476550000.0,,,4026000000.0,361184000.0,521475000.0,,,,30967000.0,2946000000.0,,14621000000.0,898400000.0,,3279200000.0,,,1154771000.0,984271000.0,,,,150693000.0,2196594000.0,,,2709000000.0,2916624000.0,540534000.0,,267967000.0,,,638700000.0,,,,271619000.0,2506457000.0,762200000.0,386987000.0,2541200000.0,,,,,,,996140000.0,,,,2754000000.0,-458206000.0,2963919000.0,338317000.0,,5070751000.0,899000000.0,,383699000.0,,4321000000.0,,323651000.0,,,756679000.0,145386000.0,237373000.0,3415200000.0,8448878000.0,,,,,3061000000.0,1977800000.0,2622263000.0,5990000000.0,311362000.0,,,4246492000.0,158765000.0,188180000.0,,,,57778000.0,3803063000.0,,392679000.0,,,48632000.0,3314200000.0,37508000.0,,,,4123271000.0,,2809000000.0,,491569000.0,,107546000.0,382952000.0,7524333000.0,511850000.0,555462000.0,392364000.0,,60455000.0,,455991000.0,,2179000000.0,,,100573000.0,1847200000.0,145767000.0,652314000.0,1178365000.0,,3017565000.0,,179001000.0,269462000.0,,55751000.0,3408000000.0,,,,137965000.0,411775000.0,,16564700000.0,831249000.0,,45232000.0,506567000.0,,1690493000.0,,,1157083000.0,1275600000.0,138905000.0,,3253165000.0,1349800000.0,,582091000.0,,,,,2360000.0,,13719000.0,875063000.0,,,,,,,510224000.0,2508896000.0,4919253000.0,83959000.0,270360000.0,,207379000.0,836488000.0,93746000.0,,33982000.0,,,,,,,,,,580174000.0,77717000.0,,,,189487000.0,,,,,5099000000.0,,,,,,,,,,,4151526000.0,,19643000.0,,3685000.0,,33942000.0,,,,,,580272000.0,,,991000000.0,511674000.0,,,,1275000000.0,,,98967000.0,9451000.0,,87045000.0,,44018000.0,,,,,,,72577000.0,239105000.0,,,,,,,,557439000.0,,,81778000.0,496043000.0,,,,,,726969000.0,,23986000.0,,2059100000.0,,,,,,,,84945000.0,,353964000.0,,,,,,,,,,295470000.0,,1727100000.0,,,,2292248000.0,,,,67982000.0,622328000.0,,206764000.0,,,,,199629000.0,,,,,,368400000.0,781542000.0,,,,,,73951000.0,,,,650808000.0,,167000000.0,,,,,138236000.0,,,82656000.0,,,861418000.0,,,63530000.0
1987-12-31,5060000000.0,291732000.0,2093453000.0,,2630529000.0,,,546209000.0,,1272242000.0,271568000.0,,,,6823000000.0,,4554000000.0,5760219000.0,,,,,252924000.0,,1133360000.0,67526000.0,,8191100000.0,76312000.0,,,465900000.0,961488000.0,6060783000.0,3713000000.0,959803000.0,271515000.0,58167000.0,50138000.0,,1213614000.0,7957000000.0,,,,4755000000.0,,994000.0,,1895000000.0,,,,635532000.0,3565000000.0,,,3773749000.0,,,22849000000.0,,,116144000.0,5458000000.0,,,712854000.0,1784000000.0,3188000000.0,941143000.0,,814321000.0,1617000000.0,4652587000.0,44721000.0,324198000.0,1535700000.0,,807312000.0,1460624000.0,,103295000.0,,,1920129000.0,2208823000.0,28927000.0,,,2359300000.0,,3699000000.0,,671949000.0,,3441879000.0,3928146000.0,,332656000.0,,1076000000.0,394217000.0,5472510000.0,,,3042600000.0,2820100000.0,5355500000.0,,453757000.0,125371000.0,,,,,2284630000.0,,33626000000.0,,100292000.0,1330679000.0,,2761372000.0,,,-343200000.0,18492700000.0,,150499000.0,97027000.0,,,1601000000.0,16480000000.0,648500000.0,,760256000.0,923500000.0,,,2080500000.0,,,832410000.0,2158544000.0,,,320559000.0,5375000000.0,373120000.0,3910700000.0,5022000000.0,1154000000.0,,38263000000.0,-44483000.0,608541000.0,,,4374000000.0,408462000.0,659908000.0,,,,37502000.0,3624000000.0,,14621000000.0,1211400000.0,,3146200000.0,,,1133511000.0,972171000.0,295700000.0,,,205343000.0,2197129000.0,,,3677000000.0,3252323000.0,582436000.0,,382082000.0,,,791700000.0,,,,280632000.0,2916715000.0,702300000.0,395868000.0,2116700000.0,,,,,,,1031811000.0,,,,3008000000.0,-291827000.0,3645871000.0,412074000.0,1258349000.0,4979400000.0,948000000.0,,428010000.0,112415000.0,5177000000.0,,327148000.0,,,845741000.0,208575000.0,271384000.0,3882400000.0,8457500000.0,,,,,3416000000.0,2043500000.0,2696936000.0,6337000000.0,395000000.0,,,4267270000.0,164629000.0,225459000.0,,,,59498000.0,4292600000.0,,417814000.0,,,48134000.0,3693000000.0,61082000.0,,,,3835884000.0,,3044000000.0,,549685000.0,,125322000.0,457536000.0,7669967000.0,514278000.0,625558000.0,471364000.0,,75216000.0,,543594000.0,,1986000000.0,,,115517000.0,2307200000.0,161808000.0,652314000.0,1233771000.0,,3436362000.0,,179001000.0,341360000.0,,50763000.0,3761000000.0,,,41523000.0,150882000.0,513181000.0,,17358900000.0,980591000.0,,30592000.0,571692000.0,,2257267000.0,602000.0,,1228891000.0,1133200000.0,155825000.0,,3716161000.0,1303800000.0,,581213000.0,,,,,13507000.0,,23525000.0,982258000.0,,,458123000.0,,,,623385000.0,2831100000.0,4827730000.0,163543000.0,297521000.0,,128780000.0,1003425000.0,153608000.0,,114765000.0,,,,,,58040000.0,,,,633939000.0,94382000.0,,,,259021000.0,,,,585598000.0,5178000000.0,,,,,,,,,,,4348506000.0,,27171000.0,,10044000.0,,56608000.0,,,,,,641540000.0,,611000.0,811000000.0,511674000.0,,,,1276000000.0,,,121316000.0,10510000.0,,97464000.0,,46734000.0,,,,,,,288002000.0,375498000.0,,,,,,,,790549000.0,,,101205000.0,436400000.0,,,,,,801283000.0,909561000.0,31506000.0,,2508600000.0,,,1803000.0,,,,,118570000.0,,436355000.0,,,,,11441000.0,,,,,278708000.0,,1885200000.0,,,,2922087000.0,,,,89662000.0,712644000.0,,254974000.0,,,,,179834000.0,,,,,,391200000.0,729171000.0,,,,,,149612000.0,,,,621045000.0,,161467000.0,,,,,149177000.0,,,134643000.0,,,825265000.0,,,69766000.0
