,Instrument,Date,Total Assets
0,MMM,1983-12-31T00:00:00Z,
1,MMM,1983-12-31T00:00:00Z,
2,MMM,1983-12-31T00:00:00Z,
3,MMM,1983-12-31T00:00:00Z,
4,MMM,1983-12-31T00:00:00Z,
5,MMM,1983-12-31T00:00:00Z,5760000000.0
6,MMM,1984-12-31T00:00:00Z,6094000000.0
7,MMM,1985-12-31T00:00:00Z,6593000000.0
8,MMM,1986-12-31T00:00:00Z,7348000000.0
9,MMM,1987-12-31T00:00:00Z,8226000000.0
10,MMM,1988-12-31T00:00:00Z,9289000000.0
11,MMM,1989-12-31T00:00:00Z,9741000000.0
12,MMM,1991-12-31T00:00:00Z,11304000000.0
13,MMM,1991-12-31T00:00:00Z,11304000000.0
14,MMM,1992-12-31T00:00:00Z,11955000000.0
15,MMM,1993-12-31T00:00:00Z,12197000000.0
16,MMM,1994-12-31T00:00:00Z,13068000000.0
17,MMM,1995-12-31T00:00:00Z,14183000000.0
18,MMM,1996-12-31T00:00:00Z,13364000000.0
19,MMM,1997-12-31T00:00:00Z,13238000000.0
20,MMM,1998-12-31T00:00:00Z,14153000000.0
21,MMM,1999-12-31T00:00:00Z,13896000000.0
22,MMM,2000-12-31T00:00:00Z,14522000000.0
23,MMM,2001-12-31T00:00:00Z,14606000000.0
24,MMM,2002-12-31T00:00:00Z,15329000000.0
25,MMM,2003-12-31T00:00:00Z,17600000000.0
26,MMM,2004-12-31T00:00:00Z,20708000000.0
27,MMM,2005-12-31T00:00:00Z,20541000000.0
28,MMM,2006-12-31T00:00:00Z,21294000000.0
29,MMM,2007-12-31T00:00:00Z,24694000000.0
30,MMM,2008-12-31T00:00:00Z,25793000000.0
31,MMM,2009-12-31T00:00:00Z,27250000000.0
32,MMM,2010-12-31T00:00:00Z,30156000000.0
33,MMM,2011-12-31T00:00:00Z,31616000000.0
34,MMM,2012-12-31T00:00:00Z,33876000000.0
35,MMM,2013-12-31T00:00:00Z,33550000000.0
36,MMM,2014-12-31T00:00:00Z,31209000000.0
37,MMM,2015-12-31T00:00:00Z,32883000000.0
38,MMM,2016-12-31T00:00:00Z,32906000000.0
39,MMM,2017-12-31T00:00:00Z,37987000000.0
40,MMM,2018-12-31T00:00:00Z,36500000000.0
41,MMM,2019-12-31T00:00:00Z,44659000000.0
42,MMM,2020-12-31T00:00:00Z,47344000000.0
43,AOS,1983-12-31T00:00:00Z,
44,AOS,1983-12-31T00:00:00Z,
45,AOS,1983-12-31T00:00:00Z,
46,AOS,1983-12-31T00:00:00Z,
47,AOS,1983-12-31T00:00:00Z,
48,AOS,1983-12-31T00:00:00Z,437608000.0
49,AOS,1984-12-31T00:00:00Z,413334000.0
50,AOS,1985-12-31T00:00:00Z,534382000.0
51,AOS,1986-12-31T00:00:00Z,693248000.0
52,AOS,1987-12-31T00:00:00Z,783582000.0
53,AOS,1988-12-31T00:00:00Z,791957000.0
54,AOS,1990-12-31T00:00:00Z,788292000.0
55,AOS,1991-12-31T00:00:00Z,754332000.0
56,AOS,1991-12-31T00:00:00Z,754332000.0
57,AOS,1992-12-31T00:00:00Z,768987000.0
58,AOS,1993-12-31T00:00:00Z,823099000.0
59,AOS,1994-12-31T00:00:00Z,847857000.0
60,AOS,1995-12-31T00:00:00Z,765653000.0
61,AOS,1996-12-31T00:00:00Z,871152000.0
62,AOS,1997-12-31T00:00:00Z,716516000.0
63,AOS,1998-12-31T00:00:00Z,736570000.0
64,AOS,1999-12-31T00:00:00Z,1063986000.0
65,AOS,2000-12-31T00:00:00Z,1064868000.0
66,AOS,2001-12-31T00:00:00Z,1293923000.0
67,AOS,2002-12-31T00:00:00Z,1224900000.0
68,AOS,2003-12-31T00:00:00Z,1279900000.0
69,AOS,2004-12-31T00:00:00Z,1314000000.0
70,AOS,2005-12-31T00:00:00Z,1292700000.0
71,AOS,2006-12-31T00:00:00Z,1839900000.0
72,AOS,2007-12-31T00:00:00Z,1854400000.0
73,AOS,2008-12-31T00:00:00Z,1928700000.0
74,AOS,2009-12-31T00:00:00Z,1974500000.0
75,AOS,2010-12-31T00:00:00Z,2110600000.0
76,AOS,2011-12-31T00:00:00Z,2349000000.0
77,AOS,2012-12-31T00:00:00Z,2278800000.0
78,AOS,2013-12-31T00:00:00Z,2391500000.0
79,AOS,2014-12-31T00:00:00Z,2515300000.0
80,AOS,2015-12-31T00:00:00Z,2629200000.0
81,AOS,2016-12-31T00:00:00Z,2891000000.0
82,AOS,2017-12-31T00:00:00Z,3197400000.0
83,AOS,2018-12-31T00:00:00Z,3071500000.0
84,AOS,2019-12-31T00:00:00Z,3058000000.0
85,AOS,2020-12-31T00:00:00Z,3160700000.0
86,ABT,1983-12-31T00:00:00Z,
87,ABT,1983-12-31T00:00:00Z,
88,ABT,1983-12-31T00:00:00Z,
89,ABT,1983-12-31T00:00:00Z,
90,ABT,1983-12-31T00:00:00Z,
91,ABT,1983-12-31T00:00:00Z,2821633000.0
92,ABT,1984-12-31T00:00:00Z,3170406000.0
93,ABT,1985-12-31T00:00:00Z,3468373000.0
94,ABT,1986-12-31T00:00:00Z,3865609000.0
95,ABT,1987-12-31T00:00:00Z,4385737000.0
96,ABT,1988-12-31T00:00:00Z,4825113000.0
97,ABT,1989-12-31T00:00:00Z,4851635000.0
98,ABT,1990-12-31T00:00:00Z,5563151000.0
99,ABT,1991-12-31T00:00:00Z,6255266000.0
100,ABT,1992-12-31T00:00:00Z,6941236000.0
101,ABT,1993-12-31T00:00:00Z,7688569000.0
102,ABT,1994-12-31T00:00:00Z,8523724000.0
103,ABT,1995-12-31T00:00:00Z,9412580000.0
104,ABT,1996-12-31T00:00:00Z,11125600000.0
105,ABT,1997-12-31T00:00:00Z,12101825000.0
106,ABT,1998-12-31T00:00:00Z,13259919000.0
107,ABT,1999-12-31T00:00:00Z,14471044000.0
108,ABT,2000-12-31T00:00:00Z,15283254000.0
109,ABT,2001-12-31T00:00:00Z,23296423000.0
110,ABT,2002-12-31T00:00:00Z,23592680000.0
111,ABT,2003-12-31T00:00:00Z,26039308000.0
112,ABT,2004-12-31T00:00:00Z,28767494000.0
113,ABT,2005-12-31T00:00:00Z,29141203000.0
114,ABT,2006-12-31T00:00:00Z,36178172000.0
115,ABT,2007-12-31T00:00:00Z,39713924000.0
116,ABT,2008-12-31T00:00:00Z,42419204000.0
117,ABT,2009-12-31T00:00:00Z,52581623000.0
118,ABT,2010-12-31T00:00:00Z,60573852000.0
119,ABT,2011-12-31T00:00:00Z,60276893000.0
120,ABT,2012-12-31T00:00:00Z,67235000000.0
121,ABT,2013-12-31T00:00:00Z,42953000000.0
122,ABT,2014-12-31T00:00:00Z,41207000000.0
123,ABT,2015-12-31T00:00:00Z,41247000000.0
124,ABT,2016-12-31T00:00:00Z,52666000000.0
125,ABT,2017-12-31T00:00:00Z,76250000000.0
126,ABT,2018-12-31T00:00:00Z,67173000000.0
127,ABT,2019-12-31T00:00:00Z,67887000000.0
128,ABT,2020-12-31T00:00:00Z,72548000000.0
130,ACN,1999-08-31T00:00:00Z,
131,ACN,1999-08-31T00:00:00Z,
132,ACN,1999-08-31T00:00:00Z,
133,ACN,1999-08-31T00:00:00Z,
134,ACN,1999-08-31T00:00:00Z,
135,ACN,1999-08-31T00:00:00Z,
136,ACN,1999-08-31T00:00:00Z,
137,ACN,1999-08-31T00:00:00Z,
138,ACN,1999-08-31T00:00:00Z,
139,ACN,1999-08-31T00:00:00Z,
140,ACN,1999-08-31T00:00:00Z,
141,ACN,1999-08-31T00:00:00Z,
142,ACN,1999-08-31T00:00:00Z,
143,ACN,1999-08-31T00:00:00Z,
144,ACN,1999-08-31T00:00:00Z,
145,ACN,1999-08-31T00:00:00Z,
146,ACN,1999-08-31T00:00:00Z,
147,ACN,1999-08-31T00:00:00Z,
148,ACN,1999-08-31T00:00:00Z,
149,ACN,1999-08-31T00:00:00Z,
150,ACN,1999-08-31T00:00:00Z,4615037000.0
151,ACN,2000-08-31T00:00:00Z,5451297000.0
152,ACN,2001-08-31T00:00:00Z,6061356000.0
153,ACN,2002-08-31T00:00:00Z,5478948000.0
154,ACN,2003-08-31T00:00:00Z,6459240000.0
155,ACN,2004-08-31T00:00:00Z,8013484000.0
156,ACN,2005-08-31T00:00:00Z,8957352000.0
157,ACN,2006-08-31T00:00:00Z,9497492000.0
158,ACN,2007-08-31T00:00:00Z,10747162000.0
159,ACN,2008-08-31T00:00:00Z,12398525000.0
160,ACN,2009-08-31T00:00:00Z,12255734000.0
161,ACN,2010-08-31T00:00:00Z,12835253000.0
162,ACN,2011-08-31T00:00:00Z,15731510000.0
163,ACN,2012-08-31T00:00:00Z,16665415000.0
164,ACN,2013-08-31T00:00:00Z,16867049000.0
165,ACN,2014-08-31T00:00:00Z,17930452000.0
166,ACN,2015-08-31T00:00:00Z,18202647000.0
167,ACN,2016-08-31T00:00:00Z,20609004000.0
168,ACN,2017-08-31T00:00:00Z,22689890000.0
169,ACN,2018-08-31T00:00:00Z,24449083000.0
170,ACN,2019-08-31T00:00:00Z,29789880000.0
171,ACN,2020-08-31T00:00:00Z,37078593000.0
172,ACN,2021-08-31T00:00:00Z,43175843000.0
174,ADM,1983-06-30T00:00:00Z,
175,ADM,1983-06-30T00:00:00Z,
176,ADM,1983-06-30T00:00:00Z,
177,ADM,1983-06-30T00:00:00Z,
178,ADM,1983-06-30T00:00:00Z,2549910000.0
179,ADM,1984-06-30T00:00:00Z,2592704000.0
180,ADM,1985-06-30T00:00:00Z,2967117000.0
181,ADM,1986-06-30T00:00:00Z,3315436000.0
182,ADM,1987-06-30T00:00:00Z,3862091000.0
183,ADM,1988-06-30T00:00:00Z,4397564000.0
184,ADM,1989-06-30T00:00:00Z,4728308000.0
185,ADM,1990-06-30T00:00:00Z,5450010000.0
186,ADM,1991-06-30T00:00:00Z,6260607000.0
187,ADM,1992-06-30T00:00:00Z,7524530000.0
188,ADM,1993-06-30T00:00:00Z,8404111000.0
189,ADM,1994-06-30T00:00:00Z,8746853000.0
190,ADM,1995-06-30T00:00:00Z,9756887000.0
191,ADM,1996-06-30T00:00:00Z,10449869000.0
192,ADM,1997-06-30T00:00:00Z,11354367000.0
193,ADM,1998-06-30T00:00:00Z,13833534000.0
194,ADM,1999-06-30T00:00:00Z,14029881000.0
195,ADM,2000-06-30T00:00:00Z,14471936000.0
196,ADM,2001-06-30T00:00:00Z,14339931000.0
197,ADM,2002-06-30T00:00:00Z,15379335000.0
198,ADM,2003-06-30T00:00:00Z,17182879000.0
199,ADM,2004-06-30T00:00:00Z,19368821000.0
200,ADM,2005-06-30T00:00:00Z,18598105000.0
201,ADM,2006-06-30T00:00:00Z,21269030000.0
202,ADM,2007-06-30T00:00:00Z,25118000000.0
203,ADM,2008-06-30T00:00:00Z,37056000000.0
204,ADM,2009-06-30T00:00:00Z,31582000000.0
205,ADM,2010-06-30T00:00:00Z,31808000000.0
206,ADM,2011-06-30T00:00:00Z,42352000000.0
207,ADM,2011-06-30T00:00:00Z,42352000000.0
208,ADM,2012-12-31T00:00:00Z,45136000000.0
209,ADM,2013-12-31T00:00:00Z,43752000000.0
210,ADM,2014-12-31T00:00:00Z,43997000000.0
211,ADM,2015-12-31T00:00:00Z,40157000000.0
212,ADM,2016-12-31T00:00:00Z,39769000000.0
213,ADM,2017-12-31T00:00:00Z,39963000000.0
214,ADM,2018-12-31T00:00:00Z,40833000000.0
215,ADM,2019-12-31T00:00:00Z,43997000000.0
216,ADM,2020-12-31T00:00:00Z,49719000000.0
219,AAP,2000-01-01T00:00:00Z,
220,AAP,2000-01-01T00:00:00Z,
221,AAP,2000-01-01T00:00:00Z,
222,AAP,2000-01-01T00:00:00Z,
223,AAP,2000-01-01T00:00:00Z,
224,AAP,2000-01-01T00:00:00Z,
225,AAP,2000-01-01T00:00:00Z,
226,AAP,2000-01-01T00:00:00Z,
227,AAP,2000-01-01T00:00:00Z,
228,AAP,2000-01-01T00:00:00Z,
229,AAP,2000-01-01T00:00:00Z,
230,AAP,2000-01-01T00:00:00Z,
231,AAP,2000-01-01T00:00:00Z,
232,AAP,2000-01-01T00:00:00Z,
233,AAP,2000-01-01T00:00:00Z,
234,AAP,2000-01-01T00:00:00Z,
235,AAP,2000-01-01T00:00:00Z,
236,AAP,2000-01-01T00:00:00Z,
237,AAP,2000-01-01T00:00:00Z,
238,AAP,2000-01-01T00:00:00Z,
239,AAP,2000-01-01T00:00:00Z,1348629000.0
240,AAP,2000-12-30T00:00:00Z,1356360000.0
241,AAP,2000-12-30T00:00:00Z,1356360000.0
242,AAP,2001-12-29T00:00:00Z,1950615000.0
243,AAP,2002-12-28T00:00:00Z,1965225000.0
244,AAP,2004-01-03T00:00:00Z,1983071000.0
245,AAP,2005-01-01T00:00:00Z,2201962000.0
246,AAP,2005-12-31T00:00:00Z,2542149000.0
247,AAP,2006-12-30T00:00:00Z,2682681000.0
248,AAP,2007-12-29T00:00:00Z,2805566000.0
249,AAP,2009-01-03T00:00:00Z,2964065000.0
250,AAP,2010-01-02T00:00:00Z,3072963000.0
251,AAP,2011-01-01T00:00:00Z,3354217000.0
252,AAP,2011-12-31T00:00:00Z,3655754000.0
253,AAP,2012-12-29T00:00:00Z,4613814000.0
254,AAP,2013-12-28T00:00:00Z,5564774000.0
255,AAP,2015-01-03T00:00:00Z,7962358000.0
256,AAP,2016-01-02T00:00:00Z,8127701000.0
257,AAP,2016-12-31T00:00:00Z,8315033000.0
258,AAP,2017-12-30T00:00:00Z,8482301000.0
259,AAP,2018-12-29T00:00:00Z,9040648000.0
260,AAP,2019-12-28T00:00:00Z,11248525000.0
261,AAP,2021-01-02T00:00:00Z,11839636000.0
262,AES,1990-12-31T00:00:00Z,
263,AES,1990-12-31T00:00:00Z,
264,AES,1990-12-31T00:00:00Z,
265,AES,1990-12-31T00:00:00Z,
266,AES,1990-12-31T00:00:00Z,
267,AES,1990-12-31T00:00:00Z,
268,AES,1990-12-31T00:00:00Z,
269,AES,1990-12-31T00:00:00Z,
270,AES,1990-12-31T00:00:00Z,
271,AES,1990-12-31T00:00:00Z,
272,AES,1990-12-31T00:00:00Z,
273,AES,1990-12-31T00:00:00Z,
274,AES,1990-12-31T00:00:00Z,1127813000.0
275,AES,1992-12-31T00:00:00Z,1551765000.0
276,AES,1992-12-31T00:00:00Z,1551765000.0
277,AES,1993-12-31T00:00:00Z,1687338000.0
278,AES,1994-12-31T00:00:00Z,1914900000.0
279,AES,1995-12-31T00:00:00Z,2341000000.0
280,AES,1996-12-31T00:00:00Z,3622000000.0
281,AES,1997-12-31T00:00:00Z,8909000000.0
282,AES,1998-12-31T00:00:00Z,10781000000.0
283,AES,1999-12-31T00:00:00Z,20880000000.0
284,AES,2000-12-31T00:00:00Z,33038000000.0
285,AES,2001-12-31T00:00:00Z,36812000000.0
286,AES,2002-12-31T00:00:00Z,34607000000.0
287,AES,2003-12-31T00:00:00Z,29137000000.0
288,AES,2004-12-31T00:00:00Z,28923000000.0
289,AES,2005-12-31T00:00:00Z,28995000000.0
290,AES,2006-12-31T00:00:00Z,31274000000.0
291,AES,2007-12-31T00:00:00Z,34453000000.0
292,AES,2008-12-31T00:00:00Z,34806000000.0
293,AES,2009-12-31T00:00:00Z,39535000000.0
294,AES,2010-12-31T00:00:00Z,40511000000.0
295,AES,2011-12-31T00:00:00Z,45346000000.0
296,AES,2012-12-31T00:00:00Z,41830000000.0
297,AES,2013-12-31T00:00:00Z,40411000000.0
298,AES,2014-12-31T00:00:00Z,38966000000.0
299,AES,2015-12-31T00:00:00Z,36470000000.0
300,AES,2016-12-31T00:00:00Z,36124000000.0
301,AES,2017-12-31T00:00:00Z,33112000000.0
302,AES,2018-12-31T00:00:00Z,32521000000.0
303,AES,2019-12-31T00:00:00Z,33648000000.0
304,AES,2020-12-31T00:00:00Z,34603000000.0
305,AFL,1983-12-31T00:00:00Z,
306,AFL,1983-12-31T00:00:00Z,
307,AFL,1983-12-31T00:00:00Z,
308,AFL,1983-12-31T00:00:00Z,
309,AFL,1983-12-31T00:00:00Z,
310,AFL,1983-12-31T00:00:00Z,1352214000.0
311,AFL,1984-12-31T00:00:00Z,1591504000.0
312,AFL,1985-12-31T00:00:00Z,2271437000.0
