,Instrument,Date,Total Equity
0,MMM,1983-12-31T00:00:00Z,
1,MMM,1983-12-31T00:00:00Z,
2,MMM,1983-12-31T00:00:00Z,
3,MMM,1983-12-31T00:00:00Z,
4,MMM,1983-12-31T00:00:00Z,
5,MMM,1983-12-31T00:00:00Z,3698000000.0
6,MMM,1984-12-31T00:00:00Z,3814000000.0
7,MMM,1985-12-31T00:00:00Z,4008000000.0
8,MMM,1986-12-31T00:00:00Z,4463000000.0
9,MMM,1987-12-31T00:00:00Z,5060000000.0
10,MMM,1988-12-31T00:00:00Z,5514000000.0
11,MMM,1989-12-31T00:00:00Z,5378000000.0
12,MMM,1991-12-31T00:00:00Z,6293000000.0
13,MMM,1991-12-31T00:00:00Z,6293000000.0
14,MMM,1992-12-31T00:00:00Z,6599000000.0
15,MMM,1993-12-31T00:00:00Z,6512000000.0
16,MMM,1994-12-31T00:00:00Z,6734000000.0
17,MMM,1995-12-31T00:00:00Z,6884000000.0
18,MMM,1996-12-31T00:00:00Z,6284000000.0
19,MMM,1997-12-31T00:00:00Z,5926000000.0
20,MMM,1998-12-31T00:00:00Z,5936000000.0
21,MMM,1999-12-31T00:00:00Z,6289000000.0
22,MMM,2000-12-31T00:00:00Z,6531000000.0
23,MMM,2001-12-31T00:00:00Z,6086000000.0
24,MMM,2002-12-31T00:00:00Z,5993000000.0
25,MMM,2003-12-31T00:00:00Z,7885000000.0
26,MMM,2004-12-31T00:00:00Z,10378000000.0
27,MMM,2005-12-31T00:00:00Z,10395000000.0
28,MMM,2006-12-31T00:00:00Z,9959000000.0
29,MMM,2007-12-31T00:00:00Z,11747000000.0
30,MMM,2008-12-31T00:00:00Z,9880000000.0
31,MMM,2009-12-31T00:00:00Z,12764000000.0
32,MMM,2010-12-31T00:00:00Z,15663000000.0
33,MMM,2011-12-31T00:00:00Z,15420000000.0
34,MMM,2012-12-31T00:00:00Z,17575000000.0
35,MMM,2013-12-31T00:00:00Z,17502000000.0
36,MMM,2014-12-31T00:00:00Z,13109000000.0
37,MMM,2015-12-31T00:00:00Z,11429000000.0
38,MMM,2016-12-31T00:00:00Z,10298000000.0
39,MMM,2017-12-31T00:00:00Z,11563000000.0
40,MMM,2018-12-31T00:00:00Z,9796000000.0
41,MMM,2019-12-31T00:00:00Z,10063000000.0
42,MMM,2020-12-31T00:00:00Z,12867000000.0
43,AOS,1983-12-31T00:00:00Z,
44,AOS,1983-12-31T00:00:00Z,
45,AOS,1983-12-31T00:00:00Z,
46,AOS,1983-12-31T00:00:00Z,
47,AOS,1983-12-31T00:00:00Z,
48,AOS,1983-12-31T00:00:00Z,206110000.0
49,AOS,1984-12-31T00:00:00Z,160551000.0
50,AOS,1985-12-31T00:00:00Z,237276000.0
51,AOS,1986-12-31T00:00:00Z,283864000.0
52,AOS,1987-12-31T00:00:00Z,291732000.0
53,AOS,1988-12-31T00:00:00Z,293320000.0
54,AOS,1990-12-31T00:00:00Z,283898000.0
55,AOS,1991-12-31T00:00:00Z,266897000.0
56,AOS,1991-12-31T00:00:00Z,266897000.0
57,AOS,1992-12-31T00:00:00Z,244656000.0
58,AOS,1993-12-31T00:00:00Z,269630000.0
59,AOS,1994-12-31T00:00:00Z,312745000.0
60,AOS,1995-12-31T00:00:00Z,372364000.0
61,AOS,1996-12-31T00:00:00Z,424639000.0
62,AOS,1997-12-31T00:00:00Z,399705000.0
63,AOS,1998-12-31T00:00:00Z,401093000.0
64,AOS,1999-12-31T00:00:00Z,431084000.0
65,AOS,2000-12-31T00:00:00Z,448395000.0
66,AOS,2001-12-31T00:00:00Z,451878000.0
67,AOS,2002-12-31T00:00:00Z,511100000.0
68,AOS,2003-12-31T00:00:00Z,583500000.0
69,AOS,2004-12-31T00:00:00Z,590600000.0
70,AOS,2005-12-31T00:00:00Z,612900000.0
71,AOS,2006-12-31T00:00:00Z,684600000.0
72,AOS,2007-12-31T00:00:00Z,757800000.0
73,AOS,2008-12-31T00:00:00Z,239200000.0
74,AOS,2009-12-31T00:00:00Z,770700000.0
75,AOS,2010-12-31T00:00:00Z,881400000.0
76,AOS,2011-12-31T00:00:00Z,1085800000.0
77,AOS,2012-12-31T00:00:00Z,1194100000.0
78,AOS,2013-12-31T00:00:00Z,1328700000.0
79,AOS,2014-12-31T00:00:00Z,1381300000.0
80,AOS,2015-12-31T00:00:00Z,1442300000.0
81,AOS,2016-12-31T00:00:00Z,1515300000.0
82,AOS,2017-12-31T00:00:00Z,1644900000.0
83,AOS,2018-12-31T00:00:00Z,1717000000.0
84,AOS,2019-12-31T00:00:00Z,1666800000.0
85,AOS,2020-12-31T00:00:00Z,1848300000.0
86,ABT,1983-12-31T00:00:00Z,
87,ABT,1983-12-31T00:00:00Z,
88,ABT,1983-12-31T00:00:00Z,
89,ABT,1983-12-31T00:00:00Z,
90,ABT,1983-12-31T00:00:00Z,
91,ABT,1983-12-31T00:00:00Z,1417883000.0
92,ABT,1984-12-31T00:00:00Z,1602700000.0
93,ABT,1985-12-31T00:00:00Z,1870663000.0
94,ABT,1986-12-31T00:00:00Z,1778921000.0
95,ABT,1987-12-31T00:00:00Z,2093453000.0
96,ABT,1988-12-31T00:00:00Z,2464649000.0
97,ABT,1989-12-31T00:00:00Z,2726413000.0
98,ABT,1990-12-31T00:00:00Z,2833617000.0
99,ABT,1991-12-31T00:00:00Z,3202987000.0
100,ABT,1992-12-31T00:00:00Z,3347641000.0
101,ABT,1993-12-31T00:00:00Z,3674929000.0
102,ABT,1994-12-31T00:00:00Z,4049400000.0
103,ABT,1995-12-31T00:00:00Z,4396847000.0
104,ABT,1996-12-31T00:00:00Z,4820182000.0
105,ABT,1997-12-31T00:00:00Z,5036334000.0
106,ABT,1998-12-31T00:00:00Z,5753591000.0
107,ABT,1999-12-31T00:00:00Z,7427595000.0
108,ABT,2000-12-31T00:00:00Z,8570906000.0
109,ABT,2001-12-31T00:00:00Z,9059432000.0
110,ABT,2002-12-31T00:00:00Z,10664553000.0
111,ABT,2003-12-31T00:00:00Z,13072258000.0
112,ABT,2004-12-31T00:00:00Z,14325783000.0
113,ABT,2005-12-31T00:00:00Z,14415271000.0
114,ABT,2006-12-31T00:00:00Z,14054186000.0
115,ABT,2007-12-31T00:00:00Z,17778540000.0
116,ABT,2008-12-31T00:00:00Z,17479551000.0
117,ABT,2009-12-31T00:00:00Z,23144294000.0
118,ABT,2010-12-31T00:00:00Z,22676802000.0
119,ABT,2011-12-31T00:00:00Z,24439833000.0
120,ABT,2012-12-31T00:00:00Z,26721000000.0
121,ABT,2013-12-31T00:00:00Z,25171000000.0
122,ABT,2014-12-31T00:00:00Z,21526000000.0
123,ABT,2015-12-31T00:00:00Z,21211000000.0
124,ABT,2016-12-31T00:00:00Z,20538000000.0
125,ABT,2017-12-31T00:00:00Z,30897000000.0
126,ABT,2018-12-31T00:00:00Z,30524000000.0
127,ABT,2019-12-31T00:00:00Z,31088000000.0
128,ABT,2020-12-31T00:00:00Z,32784000000.0
131,ACN,1999-08-31T00:00:00Z,
132,ACN,1999-08-31T00:00:00Z,
133,ACN,1999-08-31T00:00:00Z,
134,ACN,1999-08-31T00:00:00Z,
135,ACN,1999-08-31T00:00:00Z,
136,ACN,1999-08-31T00:00:00Z,
137,ACN,1999-08-31T00:00:00Z,
138,ACN,1999-08-31T00:00:00Z,
139,ACN,1999-08-31T00:00:00Z,
140,ACN,1999-08-31T00:00:00Z,
141,ACN,1999-08-31T00:00:00Z,
142,ACN,1999-08-31T00:00:00Z,
143,ACN,1999-08-31T00:00:00Z,
144,ACN,1999-08-31T00:00:00Z,
145,ACN,1999-08-31T00:00:00Z,
146,ACN,1999-08-31T00:00:00Z,
147,ACN,1999-08-31T00:00:00Z,
148,ACN,1999-08-31T00:00:00Z,
149,ACN,1999-08-31T00:00:00Z,
150,ACN,1999-08-31T00:00:00Z,
151,ACN,1999-08-31T00:00:00Z,2208133000.0
152,ACN,2000-08-31T00:00:00Z,2368453000.0
153,ACN,2001-08-31T00:00:00Z,282188000.0
154,ACN,2002-08-31T00:00:00Z,438626000.0
155,ACN,2003-08-31T00:00:00Z,831542000.0
156,ACN,2004-08-31T00:00:00Z,1471806000.0
157,ACN,2005-08-31T00:00:00Z,1696914000.0
158,ACN,2006-08-31T00:00:00Z,1894255000.0
159,ACN,2007-08-31T00:00:00Z,2063332000.0
160,ACN,2008-08-31T00:00:00Z,2540506000.0
161,ACN,2009-08-31T00:00:00Z,2835221000.0
162,ACN,2010-08-31T00:00:00Z,2835746000.0
163,ACN,2011-08-31T00:00:00Z,3878951000.0
164,ACN,2012-08-31T00:00:00Z,4145833000.0
165,ACN,2013-08-31T00:00:00Z,4960186000.0
166,ACN,2014-08-31T00:00:00Z,5732035000.0
167,ACN,2015-08-31T00:00:00Z,6133725000.0
168,ACN,2016-08-31T00:00:00Z,7555262000.0
169,ACN,2017-08-31T00:00:00Z,8949477000.0
170,ACN,2018-08-31T00:00:00Z,10364753000.0
171,ACN,2019-08-31T00:00:00Z,14409008000.0
172,ACN,2020-08-31T00:00:00Z,17000536000.0
173,ACN,2021-08-31T00:00:00Z,19529454000.0
175,ADM,1983-06-30T00:00:00Z,
176,ADM,1983-06-30T00:00:00Z,
177,ADM,1983-06-30T00:00:00Z,
178,ADM,1983-06-30T00:00:00Z,
179,ADM,1983-06-30T00:00:00Z,1449963000.0
180,ADM,1984-06-30T00:00:00Z,1649866000.0
181,ADM,1985-06-30T00:00:00Z,1803394000.0
182,ADM,1986-06-30T00:00:00Z,2075887000.0
183,ADM,1987-06-30T00:00:00Z,2367673000.0
184,ADM,1988-06-30T00:00:00Z,2630529000.0
185,ADM,1989-06-30T00:00:00Z,3033503000.0
186,ADM,1990-06-30T00:00:00Z,3573228000.0
187,ADM,1991-06-30T00:00:00Z,3922295000.0
188,ADM,1992-06-30T00:00:00Z,4492353000.0
189,ADM,1993-06-30T00:00:00Z,4883251000.0
190,ADM,1994-06-30T00:00:00Z,5045421000.0
191,ADM,1995-06-30T00:00:00Z,5854165000.0
192,ADM,1996-06-30T00:00:00Z,6144812000.0
193,ADM,1997-06-30T00:00:00Z,6050129000.0
194,ADM,1998-06-30T00:00:00Z,6504912000.0
195,ADM,1999-06-30T00:00:00Z,6240640000.0
196,ADM,2000-06-30T00:00:00Z,6110243000.0
197,ADM,2001-06-30T00:00:00Z,6331683000.0
198,ADM,2002-06-30T00:00:00Z,6754821000.0
199,ADM,2003-06-30T00:00:00Z,7069197000.0
200,ADM,2004-06-30T00:00:00Z,7698216000.0
201,ADM,2005-06-30T00:00:00Z,8433472000.0
202,ADM,2006-06-30T00:00:00Z,9806880000.0
203,ADM,2007-06-30T00:00:00Z,11253000000.0
204,ADM,2008-06-30T00:00:00Z,13490000000.0
205,ADM,2009-06-30T00:00:00Z,13627000000.0
206,ADM,2010-06-30T00:00:00Z,14609000000.0
207,ADM,2011-06-30T00:00:00Z,18808000000.0
208,ADM,2011-06-30T00:00:00Z,18808000000.0
209,ADM,2012-12-31T00:00:00Z,18920000000.0
210,ADM,2013-12-31T00:00:00Z,20156000000.0
211,ADM,2014-12-31T00:00:00Z,19575000000.0
212,ADM,2015-12-31T00:00:00Z,17899000000.0
213,ADM,2016-12-31T00:00:00Z,17173000000.0
214,ADM,2017-12-31T00:00:00Z,18313000000.0
215,ADM,2018-12-31T00:00:00Z,18981000000.0
216,ADM,2019-12-31T00:00:00Z,19208000000.0
217,ADM,2020-12-31T00:00:00Z,20000000000.0
220,AAP,2000-01-01T00:00:00Z,
221,AAP,2000-01-01T00:00:00Z,
222,AAP,2000-01-01T00:00:00Z,
223,AAP,2000-01-01T00:00:00Z,
224,AAP,2000-01-01T00:00:00Z,
225,AAP,2000-01-01T00:00:00Z,
226,AAP,2000-01-01T00:00:00Z,
227,AAP,2000-01-01T00:00:00Z,
228,AAP,2000-01-01T00:00:00Z,
229,AAP,2000-01-01T00:00:00Z,
230,AAP,2000-01-01T00:00:00Z,
231,AAP,2000-01-01T00:00:00Z,
232,AAP,2000-01-01T00:00:00Z,
233,AAP,2000-01-01T00:00:00Z,
234,AAP,2000-01-01T00:00:00Z,
235,AAP,2000-01-01T00:00:00Z,
236,AAP,2000-01-01T00:00:00Z,
237,AAP,2000-01-01T00:00:00Z,
238,AAP,2000-01-01T00:00:00Z,
239,AAP,2000-01-01T00:00:00Z,
240,AAP,2000-01-01T00:00:00Z,133954000.0
241,AAP,2000-12-30T00:00:00Z,156271000.0
242,AAP,2000-12-30T00:00:00Z,156271000.0
243,AAP,2001-12-29T00:00:00Z,288571000.0
244,AAP,2002-12-28T00:00:00Z,468356000.0
245,AAP,2004-01-03T00:00:00Z,631244000.0
246,AAP,2005-01-01T00:00:00Z,722315000.0
247,AAP,2005-12-31T00:00:00Z,919771000.0
248,AAP,2006-12-30T00:00:00Z,1030854000.0
249,AAP,2007-12-29T00:00:00Z,1023795000.0
250,AAP,2009-01-03T00:00:00Z,1075166000.0
251,AAP,2010-01-02T00:00:00Z,1282365000.0
252,AAP,2011-01-01T00:00:00Z,1039374000.0
253,AAP,2011-12-31T00:00:00Z,847914000.0
254,AAP,2012-12-29T00:00:00Z,1210694000.0
255,AAP,2013-12-28T00:00:00Z,1516205000.0
256,AAP,2015-01-03T00:00:00Z,2002912000.0
257,AAP,2016-01-02T00:00:00Z,2460648000.0
258,AAP,2016-12-31T00:00:00Z,2916192000.0
259,AAP,2017-12-30T00:00:00Z,3415196000.0
260,AAP,2018-12-29T00:00:00Z,3550813000.0
261,AAP,2019-12-28T00:00:00Z,3549081000.0
262,AAP,2021-01-02T00:00:00Z,3559512000.0
263,AES,1990-12-31T00:00:00Z,
264,AES,1990-12-31T00:00:00Z,
265,AES,1990-12-31T00:00:00Z,
266,AES,1990-12-31T00:00:00Z,
267,AES,1990-12-31T00:00:00Z,
268,AES,1990-12-31T00:00:00Z,
269,AES,1990-12-31T00:00:00Z,
270,AES,1990-12-31T00:00:00Z,
271,AES,1990-12-31T00:00:00Z,
272,AES,1990-12-31T00:00:00Z,
273,AES,1990-12-31T00:00:00Z,
274,AES,1990-12-31T00:00:00Z,
275,AES,1990-12-31T00:00:00Z,34416000.0
276,AES,1992-12-31T00:00:00Z,177222000.0
277,AES,1992-12-31T00:00:00Z,177222000.0
278,AES,1993-12-31T00:00:00Z,309310000.0
279,AES,1994-12-31T00:00:00Z,401000000.0
280,AES,1995-12-31T00:00:00Z,549000000.0
281,AES,1996-12-31T00:00:00Z,721000000.0
282,AES,1997-12-31T00:00:00Z,1481000000.0
283,AES,1998-12-31T00:00:00Z,1794000000.0
284,AES,1999-12-31T00:00:00Z,2637000000.0
285,AES,2000-12-31T00:00:00Z,5542000000.0
286,AES,2001-12-31T00:00:00Z,5539000000.0
287,AES,2002-12-31T00:00:00Z,-341000000.0
288,AES,2003-12-31T00:00:00Z,-68000000.0
289,AES,2004-12-31T00:00:00Z,956000000.0
290,AES,2005-12-31T00:00:00Z,1612000000.0
291,AES,2006-12-31T00:00:00Z,2979000000.0
292,AES,2007-12-31T00:00:00Z,3164000000.0
293,AES,2008-12-31T00:00:00Z,3669000000.0
294,AES,2009-12-31T00:00:00Z,4675000000.0
295,AES,2010-12-31T00:00:00Z,6473000000.0
296,AES,2011-12-31T00:00:00Z,5946000000.0
297,AES,2012-12-31T00:00:00Z,4569000000.0
298,AES,2013-12-31T00:00:00Z,4330000000.0
299,AES,2014-12-31T00:00:00Z,4272000000.0
300,AES,2015-12-31T00:00:00Z,3149000000.0
301,AES,2016-12-31T00:00:00Z,2794000000.0
302,AES,2017-12-31T00:00:00Z,2465000000.0
303,AES,2018-12-31T00:00:00Z,3208000000.0
304,AES,2019-12-31T00:00:00Z,2996000000.0
305,AES,2020-12-31T00:00:00Z,2634000000.0
306,AFL,1983-12-31T00:00:00Z,
307,AFL,1983-12-31T00:00:00Z,
308,AFL,1983-12-31T00:00:00Z,
309,AFL,1983-12-31T00:00:00Z,
310,AFL,1983-12-31T00:00:00Z,
311,AFL,1983-12-31T00:00:00Z,235478000.0
312,AFL,1984-12-31T00:00:00Z,278434000.0
313,AFL,1985-12-31T00:00:00Z,339617000.0
314,AFL,1986-12-31T00:00:00Z,446060000.0
