,Instrument,Date,Free Cash Flow
0,MMM,1986-12-31T00:00:00Z,
1,MMM,1986-12-31T00:00:00Z,
2,MMM,1986-12-31T00:00:00Z,
3,MMM,1986-12-31T00:00:00Z,
4,MMM,1986-12-31T00:00:00Z,
5,MMM,1986-12-31T00:00:00Z,
6,MMM,1986-12-31T00:00:00Z,
7,MMM,1986-12-31T00:00:00Z,
8,MMM,1986-12-31T00:00:00Z,211000000.0
9,MMM,1987-12-31T00:00:00Z,400000000.0
10,MMM,1988-12-31T00:00:00Z,527000000.0
11,MMM,1989-12-31T00:00:00Z,320000000.0
12,MMM,1991-12-31T00:00:00Z,144000000.0
13,MMM,1991-12-31T00:00:00Z,144000000.0
14,MMM,1992-12-31T00:00:00Z,328000000.0
15,MMM,1993-12-31T00:00:00Z,411000000.0
16,MMM,1994-12-31T00:00:00Z,436000000.0
17,MMM,1995-12-31T00:00:00Z,364000000.0
18,MMM,1996-12-31T00:00:00Z,564000000.0
19,MMM,1997-12-31T00:00:00Z,787000000.0
20,MMM,1998-12-31T00:00:00Z,-207000000.0
21,MMM,1999-12-31T00:00:00Z,797000000.0
22,MMM,2000-12-31T00:00:00Z,941000000.0
23,MMM,2001-12-31T00:00:00Z,645000000.0
24,MMM,2002-12-31T00:00:00Z,1262000000.0
25,MMM,2003-12-31T00:00:00Z,1708000000.0
26,MMM,2004-12-31T00:00:00Z,1840000000.0
27,MMM,2005-12-31T00:00:00Z,1958000000.0
28,MMM,2006-12-31T00:00:00Z,2437000000.0
29,MMM,2007-12-31T00:00:00Z,2421000000.0
30,MMM,2008-12-31T00:00:00Z,1804000000.0
31,MMM,2009-12-31T00:00:00Z,2067000000.0
32,MMM,2010-12-31T00:00:00Z,2692000000.0
33,MMM,2011-12-31T00:00:00Z,2659000000.0
34,MMM,2012-12-31T00:00:00Z,2680000000.0
35,MMM,2013-12-31T00:00:00Z,2697000000.0
36,MMM,2014-12-31T00:00:00Z,2697000000.0
37,MMM,2015-12-31T00:00:00Z,2254000000.0
38,MMM,2016-12-31T00:00:00Z,2434000000.0
39,MMM,2017-12-31T00:00:00Z,2999000000.0
